# Per-team national sources for the LLM research allow-list. A committed, dated,
# controlled input, not a live scrape. Every domain was verified before being
# added (federation home pages and outlet home pages confirmed by web search and
# fetch). The research call expands its allowed_domains per round: for each team
# in the round's field, every row here for that team is added to the static core,
# so a non-European side is sourced as well as a European one.
#
# kind: federation (the national association) or outlet (a reputable national
# sports desk). tier: 1 official federation, 2 reputable national sports press.
# Anonymous, open-edit, forum, and betting sources are never listed.
#
# Extended per round as later fixtures are researched. This snapshot covers the
# first researched fixture, Uruguay vs Spain (Group H), and the Round of 32 teams
# Germany, Paraguay, Portugal, Croatia, and Austria.
team,kind,domain,tier
Spain,federation,rfef.es,1
Spain,outlet,marca.com,2
Spain,outlet,as.com,2
Uruguay,federation,auf.org.uy,1
Uruguay,outlet,elobservador.com.uy,2
Uruguay,outlet,elpais.com.uy,2
Germany,federation,dfb.de,1
Germany,outlet,kicker.de,2
Germany,outlet,sportschau.de,2
Paraguay,federation,apf.org.py,1
Paraguay,outlet,abc.com.py,2
Paraguay,outlet,ultimahora.com,2
Portugal,federation,fpf.pt,1
Portugal,outlet,abola.pt,2
Portugal,outlet,record.pt,2
Croatia,federation,hns.family,1
Croatia,outlet,vecernji.hr,2
Croatia,outlet,sportske.hr,2
Austria,federation,oefb.at,1
Austria,outlet,laola1.at,2
Austria,outlet,derstandard.at,2
